timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1758876661.222568 -0.10522410 -0.03999242 -0.05317499 0.00020776 0.00044966 0.00009407
1758876661.289246 -0.10227405 -0.04125759 -0.05275850 0.00016940 0.00042057 0.00004651
1758876661.355923 -0.10144124 -0.04335609 -0.05260455 0.00013288 0.00040792 0.00000109
1758876661.422600 -0.10023815 -0.04367235 -0.05260257 0.00008706 0.00038457 -0.00004385
1758876661.489278 -0.09566002 -0.04618527 -0.05252728 0.00004946 0.00035273 -0.00010257
1758876661.555955 -0.09140874 -0.04846328 -0.05226093 0.00001709 0.00032697 -0.00016438
1758876661.622631 -0.08795434 -0.05119570 -0.05202188 -0.00000395 0.00029822 -0.00021003
1758876661.689308 -0.08806595 -0.05650416 -0.05175265 -0.00001738 0.00027807 -0.00023275
1758876661.755985 -0.08516765 -0.06108215 -0.05138199 -0.00004229 0.00025720 -0.00026002
1758876661.822661 -0.08283133 -0.06513064 -0.05115971 -0.00005773 0.00023358 -0.00028316
1758876661.889338 -0.08038682 -0.06784865 -0.05124412 -0.00007466 0.00021005 -0.00029953
